Chinese food name,String Locator,Model to Use,Multiplier,active status
金沙鸡中翅,Saltedeggyolkchicken(deboned),boxTakeOverName3,1.0,1
金瓜奶油虾,Pumpkincreamybutterprawns,boxTakeOverName3,1.0,1
金瓜奶油虾,Pumpkincreamybutterprawns-platform,boxTakeOverName3,1.0,1
肉松茄子,Deep-friedeggplantwithporkfloss,boxTakeOverName3,1.0,1
双味卷,Saltedeggfritters,boxTakeOverName3,1.0,1
炸馒头,Friedmantou(2pcs),boxTakeOverName3,0.5,1
旺梨脆皮蛋,Centuryeggswithpineapple,boxTakeOverName4,1.0,1
凉拌海蜇,Jellyfishsalad,boxTakeOverName4,1.0,1
口水鸡,Mouthwateringchicken,boxTakeOverName4,1.0,1
蘑菇沙拉,Mushroomsalad,boxTakeOverName4,1.0,1
绍兴花雕醉鸡,Shaoxinghuadiaodrunkenchicken,boxTakeOverName4,1.0,1
原味椰子芋泥露,Hotyampasteincoconut,boxTakeOverName4,1.0,1
流沙包1粒,Goldencustardbun,boxTakeOverName4,1.0,1
原味椰子芋泥露,Freehotyampasteincoconut,boxTakeOverName4,1.0,1
原味椰子芋泥露,Lazadahotyampasteincoconut,boxTakeOverName4,1.0,1
原味炖盅排骨汤,Doubleboiledporkribsoup,boxTakeOverName4,1.0,1
原味炖盅鸡汤,Doubleboiledchickensoup,boxTakeOverName4,1.0,1
沙葛,turnips,boxTakeOverName4,1.0,1
沙葛,freeturnip,boxTakeOverName4,1.0,1
沙葛,Turnips,boxTakeOverName4,1.0,1
辣妹子,SpecialtyChiliSauce,boxTakeOverName4,1.0,1
红烧鲍鱼,Braisedabalone(2pcs),boxTakeOverName4,1.0,1
红烧鲍鱼1份,Braisedabalone(1pc),boxTakeOverName4,1.0,1
排骨汤配饭,Lazadadoubleboiledporkribsoupwithrice,boxTakeOverName4,1.0,1
宫廷海鲜狮子头,Seafoodwithporkandsaltedeggyolkinchickenbroth(min2orders),boxTakeOverName4,1.0,1
白米饭,Steamedwhiterice,boxTakeOverName4,0.5,1
手工薄饼,Handmadepopiahwithshreddedleanmeat(10pcs),boxTakeOverName5,1.0,1
手工薄饼,Handmadepopiahwithshreddedleanmeat(10pcs)-platform,boxTakeOverName5,1.0,1
脆皮大肠,Deepfriedpig'sintestine,boxTakeOverName5,1.0,1
手工薄饼,Lazadahandmadepopiahwithshreddedleanmeat(10pcs),boxTakeOverName5,1.0,1
金瓜奶油虾,Pumpkincreamybutterprawns,boxTakeOverName5,1.0,1
金瓜奶油虾,Pumpkincreamybutterprawns-platform,boxTakeOverName5,1.0,1
玉米鱼一只,Deepfriedcorn-shapefish(whole),boxTakeOverName5,1.0,1
玉米鱼一只,Lazadadeepfriedcorn-shapedfishwhole,boxTakeOverName5,1.0,1
油炸顺壳鱼,Deepfriedsoonhock*,boxTakeOverName5,1.0,1
薄饼皮4张,Popiahskin-4pcs,boxTakeOverName5,1.0,1
薄饼皮8张,Popiahskin-8pcs,boxTakeOverName5,1.0,1
海鲜烧麦,Steamedseafoodporkdumplings(4pcs),boxTakeOverName5,1.0,1
奶冻盆栽,Oreopuddingwithraspberry,boxTakeOverName5,1.0,1
奶冻盆栽,Freeoreopuddingwithraspberry,boxTakeOverName5,1.0,1
白米饭,Steamedwhiterice,boxTakeOverName5,0.5,1
玉米鱼半只,Deepfriedcorn-shapefish(half),boxTakeOverName6,1.0,1
玉米汁,Cornjuice(warm),boxTakeOverName7,1.0,1
百香果,Passionfruitjuicewithhoney(cold),boxTakeOverName7,1.0,1
百香果,Passionfruitjuicewithhoney(warm),boxTakeOverName7,1.0,1
红毛榴莲,Soursopjuice,boxTakeOverName7,1.0,1
西瓜汁,Watermelonjuice,boxTakeOverName7,1.0,1
蜂蜜柚子茶,Yuzuteawithhoney(cold),boxTakeOverName7,1.0,1
蜂蜜柚子茶,Yuzuteawithhoney(warm),boxTakeOverName7,1.0,1
薏米水,Barleywithaloevera(warm),boxTakeOverName7,1.0,1
薏米水,Barleywithaloevera(cold),boxTakeOverName8,1.0,1
薏米水,Barleywithaloevera(warm),boxTakeOverName8,1.0,1
便当A,BentoA,boxTakeOverName8,1.0,1
便当B,BentoB,boxTakeOverName8,1.0,1
便当C,BentoC,boxTakeOverName8,1.0,1
便当D,BentoD,boxTakeOverName8,1.0,1
便当E,BentoE(Vegetarian),boxTakeOverName8,1.0,1
杏仁脆皮鸡一只,Deepfriedchickenwithalmond(whole),boxTakeOverName9,1.0,1
油炸顺壳鱼,Deepfriedlivesoonhock,boxTakeOverName9,1.0,1
油炸金目鲈,Deepfriedseabass,boxTakeOverName9,1.0,1
剁椒黄瓜鱼,Steamedgroundfishwithchilli,boxTakeOverName9,1.0,1
清蒸金目鲈,Steamedliveseabass,boxTakeOverName9,1.0,1
剁椒金目鲈,Steamedliveseabasswithchilli,boxTakeOverName9,1.0,1
清蒸顺壳鱼,Steamedlivesoonhock,boxTakeOverName9,1.0,1
剁椒顺壳鱼,Steamedsoonhockwithchilli,boxTakeOverName9,1.0,1
油炸顺壳鱼,Deepfriedsoonhock*,boxTakeOverName9,1.0,1
蒜蓉粉丝开边龙虾,Lobsterwithgarlic_min2orders_,boxTakeOverName9,0.5,1
玉米鱼一只,Deepfriedcorn-shapefish(whole),boxTakeOverName10,1.0,1
蒜蓉粉丝开边虾,Steamedgarlicprawnswithvermicelli,boxTakeOverName10,1.0,1
蒜蓉粉丝开边虾,Steamedgarlicprawnswithvermicelli-platform,boxTakeOverName10,1.0,1
剁椒苏东,Steamedsotongwithchilliandvermicelli,boxTakeOverName10,1.0,1
玉米鱼一只,Lazadadeepfriedcorn-shapedfishwhole,boxTakeOverName10,1.0,1
剁椒竹蚌2只,Steamedbambooclamwithvermicelliandchilli-2pcs,boxTakeOverName10,1.0,1
蒜蓉蒸竹蚌2只,Steamedbambooclamwithvermicelliandgarlic-2pcs,boxTakeOverName10,1.0,1
剁椒竹蚌1只,Steamedbambooclamwithvermicelliandchilli-1piece,boxTakeOverName10,1.0,1
蒜蓉蒸竹蚌1只,Steamedbambooclamwithvermicelliandgarlic-1piece,boxTakeOverName10,1.0,1
红烧牛腩面,Braisedbeefnoodlesoup,boxTakeOverName11,1.0,1
海参煲小,Claypotseacucumberwithbroccoli&chestnut(s),boxTakeOverName11,1.0,1
海参煲小,Claypotseacucumberwithbroccoli&chestnut(s)-platform,boxTakeOverName11,1.0,1
担担面,Handmadenoodleinspicysauce,boxTakeOverName11,1.0,1
炸酱面,Handmadenoodlewithmincedporkinbeansauce,boxTakeOverName11,1.0,1
南平焖面小,Braisednanpingnoodle(small),boxTakeOverName11,1.0,1
南平焖面小,Braisednanpingnoodle(s)-Campaign,boxTakeOverName11,1.0,1
南平焖面小,Braisednanpingnoodle(s)-DailySalesPrice,boxTakeOverName11,1.0,1
南平焖面小,Braisednanpingnoodle(s)-FlashDeal,boxTakeOverName11,1.0,1
红焖鳕鱼大,Redbraisedcodfish(large),boxTakeOverName12,1.0,1
红焖顺壳鱼大,Redbraisedsoonhockfish(large),boxTakeOverName12,1.0,1
原味排骨汤面,Handmadenoddleservedwithdouble-boiledporkribsoup,boxTakeOverName11,1.0,1
